miRNA genes,Control1,Control2,Control3,High1,High2,High3
mmu-miR-7a-2-3p,760,1366,492,361,884,1949
mmu-miR-204-5p,10054,25853,13963,9434,40976,33809
mmu-miR-185-5p,3774,3418,3049,3538,4833,5520
mmu-miR-218-5p,5359,6179,4227,5165,7872,9967
mmu-miR-124-5p,1376,2054,989,1732,2216,2658
mmu-miR-145a-5p,7374,5204,7150,6497,7230,8749
mmu-miR-543-3p,6666,7892,4964,5316,8058,9934
mmu-miR-381-3p,4149,3021,3175,2831,4600,6333
mmu-miR-125a-3p,486,453,241,328,402,528
mmu-miR-24-3p,7227,5920,5933,6327,9128,8194
mmu-miR-1839-5p,1526,1681,1274,1346,2431,3124
mmu-miR-129-1-3p,17165,6792,13206,11477,15430,9327
mmu-miR-27a-3p,3043,2856,2284,2266,3395,4317
mmu-miR-664-3p,3490,2925,2441,2097,3290,3556
mmu-miR-421-3p,316,387,308,272,402,742
mmu-miR-1843a-3p,324,298,218,269,324,354
mmu-miR-378a-3p,1404,1306,917,1218,1763,2137
mmu-miR-7b-5p,4554,5792,4017,3082,5958,12245
mmu-miR-181d-5p,976,565,769,1013,1131,1338
mmu-miR-326-3p,4886,3788,3944,3504,3762,5756
mmu-miR-34a-5p,945,487,740,760,1016,663
mmu-miR-136-3p,832,556,590,497,696,1735
mmu-miR-674-3p,8242,6160,4741,5710,7498,7526
mmu-miR-340-5p,445,385,346,304,529,860
mmu-miR-3968,1243,960,373,857,921,1101
mmu-miR-7a-5p,1430,2618,1293,770,2228,6013
mmu-miR-1981-3p,350,246,143,226,214,295
mmu-miR-30c-2-3p,1139,950,993,949,1395,1417
mmu-miR-34c-3p,141,144,155,83,330,270
mmu-miR-1198-5p,2761,2472,1638,2146,2690,2710
mmu-miR-28a-5p,284,340,260,247,396,535
mmu-miR-377-5p,939,640,727,660,676,1088
mmu-miR-491-5p,263,194,191,184,231,269
mmu-miR-434-5p,6161,4402,5300,5778,6210,10508
mmu-miR-130b-5p,571,493,347,448,537,521
mmu-miR-501-3p,3328,1649,1943,2494,1925,3091
mmu-miR-668-3p,5862,5359,3420,3970,5129,6457
mmu-miR-146a-5p,2598,1438,1614,2097,2267,4038
mmu-miR-92a-3p,193,150,127,152,181,173
mmu-let-7e-3p,2218,1935,1443,1681,2111,2290
mmu-miR-873a-3p,1093,656,651,1074,768,1612
mmu-miR-329-5p,1106,1070,930,912,1371,1585
mmu-miR-667-3p,6316,4926,4036,3868,4419,5538
mmu-miR-337-5p,7726,6836,5639,5839,9207,10517
mmu-miR-335-3p,1750,1564,1716,1643,2432,3396
mmu-miR-29c-3p,505,576,578,531,937,1143
mmu-miR-3072-3p,1043,703,716,870,663,1003
mmu-let-7b-3p,3909,2873,2582,2575,2700,2936
mmu-miR-485-3p,998,629,647,639,355,888
mmu-miR-666-5p,1962,1861,893,1427,1402,3266
mmu-miR-379-3p,2497,2900,2353,2267,3938,3923
mmu-miR-708-5p,2329,1844,1736,2220,3239,3353
mmu-miR-30b-5p,8648,6057,8313,7592,10784,14120
mmu-miR-365-3p,3908,2525,3475,2883,3522,3612
mmu-miR-486a-5p,4977,1444,76,3540,1701,134
mmu-miR-135a-5p,653,881,620,500,1205,1562
mmu-miR-673-3p,300,210,210,197,239,302
mmu-miR-467d-3p,97,104,71,42,87,126
mmu-miR-331-3p,1901,1168,1111,1236,1246,2036
mmu-miR-129b-5p,1376,345,3948,1030,4522,1092
mmu-miR-340-3p,296,132,177,203,191,324
mmu-miR-138-5p,3233,2563,2761,2487,3101,5468
mmu-miR-384-5p,1684,1284,1403,1727,1926,3160
mmu-miR-298-5p,1187,3069,660,851,1225,3654
mmu-miR-673-5p,1217,1050,608,798,915,1135
mmu-miR-106b-3p,1434,1470,943,1082,1620,1654
mmu-miR-1983,1973,1354,1347,1393,1820,2682
mmu-miR-504-5p,1656,1256,766,929,1079,1500
mmu-miR-350-3p,194,262,203,168,336,415
mmu-miR-1955-5p,58,25,29,28,34,32
mmu-miR-146b-5p,1038,645,909,1028,1164,1937
mmu-miR-3078-5p,122,124,99,94,123,179
mmu-miR-3093-5p,496,335,243,329,308,462
mmu-miR-3059-5p,1050,810,577,773,736,1113
mmu-miR-324-5p,1308,1102,941,1205,1293,1638
mmu-miR-3102-3p,1910,1187,1295,1411,1325,2033
mmu-miR-323-3p,5131,6035,3336,3611,5203,7391
mmu-miR-29b-2-5p,1064,915,817,941,1517,1169
mmu-miR-148a-3p,1545,1071,1676,1287,1608,3013
mmu-miR-532-5p,2084,2085,1692,1996,3179,3239
mmu-miR-338-3p,1364,770,1050,1269,1359,1765
mmu-miR-411-5p,2880,2681,2297,2636,4674,5139
mmu-miR-154-5p,1105,1380,927,849,1786,1468
mmu-miR-21a-5p,877,749,933,779,1585,1729
mmu-miR-212-3p,2212,1533,1747,1539,2681,2296
mmu-miR-206-3p,14,14,11,12,14,27
mmu-miR-425-5p,1740,1016,1294,1461,1573,2493
mmu-miR-423-3p,4860,4636,3541,3657,5080,4508
mmu-miR-700-3p,1981,1657,1186,1298,1225,2818
mmu-miR-676-3p,2916,3440,1975,1785,2822,4813
mmu-miR-770-3p,2130,3691,1322,1487,2230,3738
mmu-miR-137-3p,614,960,668,532,1480,1943
mmu-miR-423-5p,2010,1761,1260,1586,1827,1513
mmu-miR-339-3p,648,508,418,540,533,781
mmu-miR-1981-5p,2621,2325,1681,2014,2956,2685
mmu-miR-199a-5p,246,179,219,303,302,505
mmu-miR-370-5p,151,133,76,120,140,218
mmu-miR-125b-2-3p,1390,874,1007,975,1457,1990
mmu-miR-6540-5p,1368,1659,724,813,1136,2196
mmu-miR-186-5p,2741,1821,2419,2186,2939,4155
mmu-miR-351-5p,2169,1580,1253,1225,1592,2169
mmu-miR-874-3p,1219,1042,1206,1184,1059,1477
mmu-miR-29c-5p,248,186,185,177,305,267
mmu-miR-34b-3p,1102,1283,886,358,2044,1670
mmu-miR-30e-3p,2045,1296,1474,1898,2441,2864
mmu-let-7c-2-3p,766,528,283,310,60,52
mmu-miR-574-3p,1224,984,743,940,997,1089
mmu-miR-194-5p,1154,835,850,900,1509,1694
mmu-miR-29b-3p,460,386,334,370,645,904
mmu-miR-369-3p,950,968,854,677,1346,1799
mmu-miR-12185-3p,5,12,3,8,12,7
mmu-miR-873a-5p,203,144,87,167,136,361
mmu-miR-342-5p,198,143,114,165,191,252
mmu-miR-7b-3p,418,358,319,445,448,575
mmu-miR-669f-5p,9,14,4,2,9,9
mmu-miR-345-5p,130,127,104,86,133,237
mmu-miR-128-2-5p,1174,549,502,843,754,728
mmu-miR-34c-5p,2184,2337,2906,986,7625,6571
mmu-miR-22-5p,626,565,541,528,918,1034
mmu-miR-877-3p,591,422,274,387,410,409
mmu-miR-145a-3p,116,73,73,88,116,237
mmu-miR-935,1381,1467,907,1062,1267,1335
mmu-miR-130a-3p,150,152,166,140,227,377
mmu-miR-181a-1-3p,1868,1046,1568,1516,2091,2283
mmu-miR-128-1-5p,1519,841,909,1274,1150,1322
mmu-miR-106b-5p,154,147,140,121,195,279
mmu-miR-582-5p,216,182,239,236,258,392
mmu-miR-134-5p,931,943,687,710,1198,1548
mmu-miR-532-3p,1091,853,554,757,897,959
mmu-miR-676-5p,313,275,247,224,361,567
mmu-miR-181c-5p,1701,619,1047,1404,1084,1797
mmu-miR-184-3p,379,194,237,165,280,321
mmu-miR-152-3p,684,718,568,763,1174,1572
mmu-miR-378a-5p,478,341,350,384,427,511
mmu-let-7i-3p,561,581,473,429,646,721
mmu-miR-26a-2-3p,282,198,196,266,291,319
mmu-miR-6940-3p,69,34,28,35,35,46
mmu-miR-99b-3p,221,214,160,116,239,309
mmu-miR-3085-3p,203,343,155,173,212,307
mmu-miR-30a-3p,2676,2112,2049,2300,3259,3523
mmu-miR-500-3p,408,298,247,308,332,518
mmu-miR-195a-5p,407,209,324,451,456,419
mmu-miR-93-5p,1426,1297,1166,1274,2610,1775
mmu-miR-455-3p,571,446,246,397,421,503
mmu-miR-7047-3p,272,207,115,179,149,176
mmu-miR-412-5p,889,758,599,755,787,1264
mmu-miR-129b-3p,211,87,749,633,64,279
mmu-miR-134-3p,98,87,102,94,128,124
mmu-miR-3070-2-3p,11,7,8,7,9,13
mmu-miR-331-5p,91,63,43,80,88,182
mmu-miR-362-5p,393,225,340,366,423,619
mmu-miR-296-5p,760,1130,359,457,545,1129
mmu-miR-671-3p,1012,693,501,754,651,747
mmu-miR-153-3p,82,43,80,51,80,105
mmu-miR-488-3p,940,901,743,832,1032,2076
mmu-miR-7a-1-3p,303,248,269,295,432,540
mmu-miR-26b-5p,572,399,556,845,1127,1333
mmu-miR-31-5p,1385,1539,941,952,1709,2165
mmu-miR-5129-3p,67,36,58,42,73,88
mmu-miR-140-3p,1396,976,1009,1071,1388,2061
mmu-miR-3068-5p,421,339,315,346,590,748
mmu-miR-325-5p,332,292,286,271,445,603
mmu-miR-872-5p,206,179,139,168,238,411
mmu-miR-203-3p,165,265,137,149,275,374
mmu-miR-323-5p,517,614,263,400,442,497
mmu-miR-872-3p,1100,991,926,731,1289,2154
mmu-miR-380-3p,359,487,389,263,552,1066
mmu-miR-379-5p,2248,2174,1907,2155,3423,4522
mmu-miR-187-5p,49,38,24,23,27,60
mmu-miR-299a-3p,69,46,33,29,56,69
mmu-miR-138-2-3p,201,190,140,167,182,276
mmu-miR-24-1-5p,79,41,103,46,130,95
mmu-miR-126a-5p,305,56,273,5,436,39
mmu-miR-322-3p,219,203,168,193,294,408
mmu-miR-7117-5p,10,0,3,5,0,1
mmu-miR-199a-3p,60,136,227,98,478,750
mmu-miR-324-3p,123,81,68,76,96,156
mmu-miR-24-2-5p,294,171,276,299,301,401
mmu-miR-299a-5p,821,580,484,537,788,637
mmu-miR-1934-5p,69,36,27,26,47,74
mmu-miR-7211-5p,4,4,0,0,0,2
mmu-miR-98-5p,472,336,275,369,561,745
mmu-miR-674-5p,1020,564,676,705,866,906
mmu-miR-376b-5p,509,328,467,530,407,858
mmu-miR-3475-3p,361,311,161,272,345,384
mmu-miR-30c-1-3p,241,206,187,213,316,276
mmu-miR-671-5p,75,82,33,34,51,102
mmu-miR-1927,2,2,2,0,2,1
mmu-miR-700-5p,376,364,287,255,404,518
mmu-miR-210-3p,228,224,175,219,359,239
mmu-miR-133b-3p,21,7,4,5,31,5
mmu-miR-760-3p,154,204,65,84,97,206
mmu-miR-1306-5p,125,108,68,82,81,83
mmu-miR-7019-3p,138,69,70,96,86,128
mmu-miR-1930-5p,18,15,18,19,22,32
mmu-miR-574-5p,247,209,113,165,186,210
mmu-miR-6958-3p,34,24,16,25,28,24
mmu-miR-6970-3p,4,7,2,1,4,5
mmu-miR-200a-3p,135,29,195,294,158,76
mmu-miR-877-5p,29,30,13,17,33,36
mmu-miR-3074-2-3p,10,24,8,12,29,45
mmu-miR-543-5p,90,84,78,89,83,125
mmu-miR-325-3p,629,359,402,443,462,801
mmu-miR-7001-3p,1,0,0,0,0,1
mmu-miR-204-3p,67,159,55,45,170,99
mmu-miR-191-3p,195,126,106,139,115,191
mmu-miR-503-3p,56,23,36,44,45,59
mmu-miR-448-5p,39,94,50,45,83,141
mmu-miR-192-5p,296,185,219,277,331,580
mmu-miR-1a-3p,254,138,197,200,330,308
mmu-miR-137-5p,185,227,118,93,211,268
mmu-miR-1191a,10,7,6,6,17,15
mmu-miR-374b-5p,359,297,372,322,478,897
mmu-miR-181a-2-3p,334,257,172,194,222,309
mmu-miR-341-3p,152,151,129,106,178,277
mmu-miR-708-3p,462,401,301,356,612,857
mmu-miR-101a-3p,218,318,192,155,526,388
mmu-miR-448-3p,20,108,47,18,334,285
mmu-miR-1839-3p,379,263,257,327,378,546
mmu-miR-138-1-3p,93,90,51,44,107,127
mmu-miR-1966-3p,7,7,1,0,7,8
mmu-miR-744-3p,134,117,132,66,165,200
mmu-miR-496a-3p,273,279,227,236,329,491
mmu-miR-592-5p,105,96,111,97,216,225
mmu-miR-1970c-5p,6,4,4,5,7,6
mmu-miR-344-3p,464,731,459,428,1021,958
mmu-miR-378c,208,73,172,65,435,67
mmu-miR-3103-3p,17,8,11,15,13,10
mmu-miR-211-5p,57,41,34,36,56,50
mmu-miR-431-3p,412,373,289,297,429,524
mmu-miR-15a-5p,109,131,163,126,259,233
mmu-miR-1224-5p,785,565,418,592,728,717
mmu-miR-3084-3p,49,37,10,18,24,32
mmu-miR-1298-5p,273,2110,1073,304,6482,4278
mmu-miR-770-5p,673,738,427,451,437,1049
mmu-miR-127-5p,147,192,72,131,226,166
mmu-miR-669c-5p,90,159,54,63,99,181
mmu-miR-425-3p,232,178,144,170,233,374
mmu-miR-466i-3p,49,64,43,22,42,57
mmu-miR-3102-3p.2-3p,98,62,33,52,76,82
mmu-miR-490-5p,182,93,82,154,134,222
mmu-miR-92b-5p,106,150,68,72,131,102
mmu-miR-1247-5p,114,109,66,9,68,104
mmu-miR-7044-3p,66,51,36,71,57,69
mmu-miR-148b-5p,38,26,39,41,54,65
mmu-miR-154-3p,92,105,100,98,185,257
mmu-miR-5617-5p,5,1,2,2,4,3
mmu-miR-181c-3p,455,321,523,450,540,788
mmu-miR-335-5p,466,313,423,273,520,651
mmu-miR-5621-3p,63,48,46,38,31,79
mmu-miR-135a-1-3p,61,40,40,64,45,50
mmu-miR-7055-3p,3,1,0,3,2,3
mmu-miR-672-3p,80,92,44,34,62,95
mmu-miR-27a-5p,42,37,39,38,53,47
mmu-miR-466d-3p,17,14,1,9,17,26
mmu-miR-146b-3p,94,37,56,71,52,82
mmu-miR-6997-3p,13,20,12,11,13,15
mmu-miR-1193-3p,146,90,118,143,158,290
mmu-miR-669a-5p,27,0,10,7,5,10
mmu-miR-6953-3p,34,31,25,19,35,27
mmu-miR-202-3p,1,0,0,0,1,0
mmu-miR-2137,47,37,22,26,41,53
mmu-miR-219b-5p,298,712,680,420,979,307
mmu-miR-7689-3p,399,363,316,330,308,506
mmu-miR-216b-5p,20,11,14,15,10,9
mmu-miR-101b-3p,109,135,91,68,121,211
mmu-miR-3097-5p,26,30,6,11,24,31
mmu-miR-17-5p,336,341,244,289,657,478
mmu-miR-667-5p,86,72,54,41,93,99
mmu-let-7a-1-3p,9,10,266,344,850,903
mmu-miR-665-3p,12,10,5,11,7,12
mmu-miR-6984-3p,8,0,4,2,6,10
mmu-miR-136-5p,63,57,59,52,60,131
mmu-miR-698-5p,4,1,0,1,1,1
mmu-miR-17-3p,61,36,42,45,67,53
mmu-miR-187-3p,246,424,241,249,358,504
mmu-miR-3104-3p,20,18,9,14,17,14
mmu-miR-378d,185,133,180,173,225,373
mmu-miR-501-5p,161,121,69,69,143,179
mmu-miR-122b-3p,12,4,0,23,28,33
mmu-miR-669h-5p,2,6,3,0,8,8
mmu-miR-490-3p,240,127,150,177,209,246
mmu-miR-193b-5p,57,30,30,28,44,29
mmu-miR-199b-3p,251,238,37,381,74,64
mmu-miR-3552,65,242,44,33,118,224
mmu-miR-3547-3p,23,140,8,8,19,115
mmu-miR-551b-3p,9,7,6,11,12,16
mmu-miR-544-5p,9,11,6,12,11,20
mmu-miR-155-5p,26,18,27,22,40,40
mmu-miR-702-3p,76,72,38,49,45,74
mmu-miR-3093-3p,52,38,28,32,46,45
mmu-miR-1194,12,17,12,14,15,24
mmu-miR-672-5p,320,301,234,237,323,389
mmu-miR-467d-5p,55,49,20,24,45,51
mmu-miR-183-5p,29,57,30,25,41,88
mmu-miR-3102-5p.2-5p,44,34,20,28,34,55
mmu-miR-30b-3p,254,139,191,221,234,304
mmu-miR-351-3p,17,10,7,17,7,13
mmu-miR-126b-5p,95,118,39,43,140,370
mmu-miR-3074-1-3p,72,86,23,67,49,117
mmu-miR-467b-5p,37,10,10,11,81,51
mmu-miR-376a-5p,269,157,205,232,233,394
mmu-miR-6944-3p,138,108,75,73,84,125
mmu-miR-451a,223,150,228,294,226,317
mmu-miR-8114,50,50,27,31,34,41
mmu-miR-5129-5p,31,22,25,30,21,35
mmu-miR-384-3p,115,104,91,91,164,273
mmu-miR-19b-3p,21,21,31,15,36,15
mmu-miR-1224-3p,33,21,23,22,21,22
mmu-miR-7080-3p,159,215,72,102,91,233
mmu-miR-431-5p,357,339,240,236,404,600
mmu-miR-1264-3p,141,357,213,127,684,1020
mmu-miR-345-3p,91,88,90,86,118,195
mmu-miR-5128,8,12,6,1,7,8
mmu-miR-7667-5p,8,1,2,6,8,3
mmu-miR-551b-5p,45,36,29,50,45,85
mmu-miR-182-5p,35,94,61,45,69,116
mmu-miR-6915-3p,18,12,8,3,7,4
mmu-miR-874-5p,34,29,31,36,43,43
mmu-miR-6996-5p,2,2,0,2,5,2
mmu-miR-3068-3p,246,226,271,237,334,543
mmu-miR-3057-3p,33,21,15,26,9,26
mmu-miR-214-3p,19,21,12,27,29,29
mmu-miR-466e-3p,44,17,33,18,60,19
mmu-miR-344b-3p,133,122,86,92,160,231
mmu-miR-27b-5p,93,74,83,97,125,137
mmu-miR-491-3p,27,9,9,10,12,30
